,dl_vn
0,8.66217807297039
1,5.376716567992457
2,5.163911732973011
3,10.638897208295957
4,4.172626668818975
5,21.460933980222045
6,4.541857127797448
7,5.72289338314794
8,17.068989211219797
9,15.136958296633432
10,0.13446515679464752
11,0.13762652925816873
12,0.08644840894152747
13,0.10492589112380796
14,0.10747971160531
15,0.08567571366027957
16,0.10396646726126557
17,0.10223421215506572
18,0.13611257744986124
19,0.10300791000252965
20,0.10254487039356855
21,0.10275954553771535
22,0.1001828174750702
23,0.13374454944063568
24,0.08459611280897131
25,0.13275999378038503
26,0.13231624518456406
27,0.10064796669115456
28,0.10034338137856506
29,0.10123532609067881
30,0.10112036398659946
31,0.10160242119353993
32,0.1289567413966596
33,0.12798002367980862
34,0.09973975957743125
35,0.09989881419031145
36,0.08243701531249559
37,0.08129608627376367
38,0.09797813838463654
39,0.12569306343339134
40,0.09716774775295813
41,0.09825638894152483
42,0.12468452114686825
43,0.09576063532927574
44,0.12320758994749426
45,0.09809709561714897
46,0.09537671221995618
47,0.07933521535985956
48,0.12198751497661504
49,0.07818050501720193
50,0.09420122002231295
51,0.11969924371042853
52,0.09391304620743349
53,0.09467867277940825
54,0.07709281335992217
55,0.09261768608500968
56,0.1168931866096647
57,0.1177141662109976
58,0.09181694083922569
59,0.08911545193600218
60,0.0893166389914423
