,dl_vn
0,0.486669955954258
1,0.3834241852041104
2,0.37575981317291257
3,0.5393482879770952
4,0.33777356502529793
5,0.7660292298960948
6,0.3524014131296212
7,0.39557493678469213
8,0.683163925945512
9,0.64333966042659
10,0.06063460819955933
11,0.06134326626875301
12,0.04861734218048336
13,0.053561843383503845
14,0.054209773398826294
15,0.04839956972665884
16,0.053316393196187604
17,0.052870343026113785
18,0.06100492370638216
19,0.05307003104945773
20,0.052950613037757666
21,0.05300601125400547
22,0.052337199080344184
23,0.060471913542594236
24,0.04809364924444081
25,0.06024891593993389
26,0.06014813851394445
27,0.05245856330994199
28,0.05237912433059714
29,0.05261141400439358
30,0.05258153196613273
31,0.05270671941770144
32,0.05937963040613865
33,0.05915432665919242
34,0.052221336519873776
35,0.05226295990313017
36,0.047475924875415444
37,0.04714623324972756
38,0.05175809527717975
39,0.058623396258274875
40,0.05154359437743806
41,0.051831540215224785
42,0.05838772365023485
43,0.051169012140672994
44,0.05804087282320208
45,0.05178950708532082
46,0.051066332268033955
47,0.04657415285231859
48,0.057752772381719976
49,0.04623395680753931
50,0.05075065621719004
51,0.057208522942395215
52,0.05067296757631718
53,0.05087911139201
54,0.045911199996928165
55,0.05032227081434131
56,0.05653397023078597
57,0.05673215690372708
58,0.05010425496779529
59,0.049361627205882774
60,0.04941731727855757
