,dl_vn
0,0.1216674889885645
1,0.0958560463010276
2,0.09393995329322814
3,0.1348370719942738
4,0.08444339125632448
5,0.1915073074740237
6,0.0881003532824053
7,0.09889373419617303
8,0.170790981486378
9,0.1608349151066475
10,0.015158652049889832
11,0.015335816567188253
12,0.01215433554512084
13,0.013390460845875961
14,0.013552443349706574
15,0.01209989243166471
16,0.013329098299046901
17,0.013217585756528446
18,0.01525123092659554
19,0.013267507762364433
20,0.013237653259439416
21,0.013251502813501367
22,0.013084299770086046
23,0.015117978385648559
24,0.012023412311110203
25,0.015062228984983472
26,0.015037034628486113
27,0.013114640827485497
28,0.013094781082649285
29,0.013152853501098394
30,0.013145382991533183
31,0.01317667985442536
32,0.014844907601534663
33,0.014788581664798106
34,0.013055334129968444
35,0.013065739975782543
36,0.011868981218853861
37,0.01178655831243189
38,0.012939523819294937
39,0.014655849064568719
40,0.012885898594359515
41,0.012957885053806196
42,0.014596930912558712
43,0.012792253035168248
44,0.01451021820580052
45,0.012947376771330205
46,0.012766583067008489
47,0.011643538213079648
48,0.014438193095429994
49,0.011558489201884828
50,0.01268766405429751
51,0.014302130735598804
52,0.012668241894079295
53,0.0127197778480025
54,0.011477799999232041
55,0.012580567703585328
56,0.014133492557696492
57,0.01418303922593177
58,0.012526063741948822
59,0.012340406801470694
60,0.012354329319639392
