pl_name,hostname,pl_orbsmax,pl_radj,pl_massj,st_rad,st_mass,ra,dec,sy_dist,sy_gaiamag
Proxima Cen b,Proxima Cen,0.0485,,,0.14,0.12,217.3934657,-62.6761821,1.30119,8.95361
eps Eri b,eps Eri,3.5,,,0.76,0.81,53.2284306,-9.4581715,3.2026,3.47719
GJ 887 b,GJ 887,0.068,,,0.47,0.49,346.4668274,-35.8530693,3.29,
GJ 887 c,GJ 887,0.12,,,0.47,0.49,346.4668274,-35.8530693,3.29,
Ross 128 b,Ross 128,0.0496,,,0.2,0.17,176.9376036,0.7992898,3.37454,9.59067
GJ 15 A b,GJ 15 A,0.072,,,0.38,0.38,4.6126677,44.0247296,3.56228,7.2162
GJ 15 A c,GJ 15 A,5.4,,,0.38,0.38,4.6126677,44.0247296,3.56228,7.2162
tau Cet e,tau Cet,0.538,,,,0.78,26.0093029,-15.9337987,3.60304,3.24854
tau Cet f,tau Cet,1.334,,,,0.78,26.0093029,-15.9337987,3.60304,3.24854
tau Cet g,tau Cet,0.133,,,,0.78,26.0093029,-15.9337987,3.60304,3.24854
tau Cet h,tau Cet,0.243,,,,0.78,26.0093029,-15.9337987,3.60304,3.24854
eps Ind A b,eps Ind A,11.55,,3.25,,0.75,330.8714021,-56.7969023,3.63857,4.34562
GJ 1061 b,GJ 1061,0.021,,,0.16,0.12,54.0032486,-44.5143104,3.67278,10.9889
GJ 1061 c,GJ 1061,0.035,,,0.16,0.12,54.0032486,-44.5143104,3.67278,10.9889
GJ 1061 d,GJ 1061,0.054,,,0.16,0.12,54.0032486,-44.5143104,3.67278,10.9889
YZ Cet b,YZ Cet,0.0156,,,0.17,0.13,18.1330792,-16.9962434,3.71207,10.4294
YZ Cet c,YZ Cet,0.0209,,,0.17,0.13,18.1330792,-16.9962434,3.71207,10.4294
YZ Cet d,YZ Cet,0.0276,,,0.17,0.13,18.1330792,-16.9962434,3.71207,10.4294
Teegarden's Star b,Teegarden's Star,0.0252,,,0.11,0.09,43.2691449,16.8649024,3.83078,12.2746
Teegarden's Star c,Teegarden's Star,0.0443,,,0.11,0.09,43.2691449,16.8649024,3.83078,12.2746
Kapteyn c,Kapteyn,0.311,,,0.29,0.28,77.9586613,-45.0430198,3.93305,8.06198
Wolf 1061 b,Wolf 1061,0.0375,,,0.31,0.29,247.5748276,-12.6676866,4.30592,8.79444
Wolf 1061 c,Wolf 1061,0.08427,,,,0.25,247.5748276,-12.6676866,4.30592,8.79444
Wolf 1061 d,Wolf 1061,0.2039,,,,0.25,247.5748276,-12.6676866,4.30592,8.79444
GJ 9066 b,GJ 9066,0.403,,,,0.15,30.0588307,13.0443172,4.471,10.6711
GJ 9066 c,GJ 9066,0.87,,,,0.15,30.0588307,13.0443172,4.471,10.6711
GJ 674 b,GJ 674,0.039,,,,0.35,262.1700476,-46.8989826,4.54896,8.33063
GJ 687 b,GJ 687,0.1658,,,0.4,0.42,264.1041731,68.3336741,4.54939,8.02754
GJ 687 c,GJ 687,1.165,,,,0.4,264.1041731,68.3336741,4.54939,8.02754
GJ 876 b,GJ 876,0.2177,,,0.37,0.37,343.3239737,-14.2665958,4.67517,8.8753
GJ 876 c,GJ 876,0.13,,,0.35,0.34,343.3239737,-14.2665958,4.67517,8.8753
GJ 876 d,GJ 876,,,,0.35,0.34,343.3239737,-14.2665958,4.67517,8.8753
GJ 876 e,GJ 876,0.3514,,0.05217,,0.37,343.3239737,-14.2665958,4.67517,8.8753
GJ 832 b,GJ 832,3.56,,,,0.45,323.3912616,-49.0125169,4.96435,7.73761
GJ 832 c,GJ 832,0.163,,,,0.45,323.3912616,-49.0125169,4.96435,7.73761
GJ 682 b,GJ 682,0.08,,,,0.27,264.2610245,-44.3232519,5.00671,9.57025
GJ 682 c,GJ 682,0.176,,,,0.27,264.2610245,-44.3232519,5.00671,9.57025
HD 26965 b,HD 26965,,,,0.87,0.78,63.8082666,-7.6676027,5.03545,4.18665
GJ 3323 b,GJ 3323,0.03282,,,0.12,0.16,75.4868824,-6.9485133,5.37484,10.6467
GJ 3323 c,GJ 3323,0.1264,,,0.12,0.16,75.4868824,-6.9485133,5.37484,10.6467
GJ 251 b,GJ 251,0.0818,,,0.36,0.36,103.7002499,33.2664632,5.58057,8.85518
GJ 411 b,GJ 411,0.0789,,,0.39,0.39,165.834471,35.972317,5.675773,
HD 95735 c,GJ 411,3.1,,,0.37,0.39,165.834471,35.972317,5.675773,
GJ 229 A c,GJ 229,0.339,,,,0.58,92.6435993,-21.8677233,5.75624,7.30724
GJ 229 b,GJ 229,0.898,,,,0.58,92.6435993,-21.8677233,5.75624,7.30724
HD 180617 b,HD 180617,0.343,,,0.48,0.48,289.2277322,5.1631615,5.91059,8.0976
GJ 273 b,GJ 273,0.091101,,,0.29,0.29,111.852091,5.225807,5.921535,
GJ 273 c,GJ 273,0.036467,,,0.29,0.29,111.852091,5.225807,5.921535,
HD 20794 b,HD 20794,0.1207,,,,0.7,49.9997666,-43.0666533,6.00278,4.06635
HD 20794 c,HD 20794,0.2036,,,,0.7,49.9997666,-43.0666533,6.00278,4.06635
HD 20794 d,HD 20794,0.364,,,,0.81,49.9997666,-43.0666533,6.00278,4.06635
HD 20794 e,HD 20794,0.509,,,,0.81,49.9997666,-43.0666533,6.00278,4.06635
GJ 581 b,GJ 581,0.040616,,,0.29,0.31,229.8564725,-7.7226935,6.2981,9.411
GJ 581 c,GJ 581,0.07359,,,0.32,0.32,229.8564725,-7.7226935,6.2981,9.411
GJ 581 e,GJ 581,0.03,,,,,229.8564725,-7.7226935,6.2981,9.411
GJ 338 B b,GJ 338 B,0.141,,,0.58,0.64,138.5916722,52.6835211,6.33256,7.04775
GJ 625 b,GJ 625,0.078361,,,0.31,0.3,246.3557854,54.3033625,6.47249,9.13702
HD 219134 b,HD 219134,0.03876,0.143,0.01491,0.78,0.81,348.3372026,57.1696255,6.53127,5.2402
HD 219134 c,HD 219134,0.064,,,0.78,0.78,348.3372026,57.1696255,6.53127,5.2402
HD 219134 d,HD 219134,0.2345,,,0.76,0.79,348.3372026,57.1696255,6.53127,5.2402
HD 219134 f,HD 219134,0.14574,,,0.77,0.79,348.3372026,57.1696255,6.53127,5.2402
HD 219134 g,HD 219134,0.3753,,,0.77,0.79,348.3372026,57.1696255,6.53127,5.2402
HD 219134 h,HD 219134,3.015,,,,0.79,348.3372026,57.1696255,6.53127,5.2402
LTT 1445 A b,LTT 1445 A,,,,0.28,,45.4624781,-16.5944956,6.86929,10.0469
LTT 1445 A c,LTT 1445 A,0.02661,0.102,0.00485,0.27,0.26,45.4624781,-16.5944956,6.86929,10.0469
GJ 393 b,GJ 393,0.05402,,,0.43,0.43,157.2288672,0.8378485,7.03149,8.67373
GJ 667 C b,GJ 667 C,0.0505,,,,0.33,259.7510609,-34.9977651,7.24396,9.38033
GJ 667 C c,GJ 667 C,0.125,,,,,259.7510609,-34.9977651,7.24396,9.38033
GJ 667 C e,GJ 667 C,0.213,,,,0.33,259.7510609,-34.9977651,7.24396,9.38033
GJ 667 C f,GJ 667 C,0.156,,,,0.33,259.7510609,-34.9977651,7.24396,9.38033
GJ 667 C g,GJ 667 C,0.549,,,,0.33,259.7510609,-34.9977651,7.24396,9.38033
GJ 1151 b,GJ 1151,0.01735,,,,,177.7304866,48.3732334,8.03625,11.6938
GJ 486 b,GJ 486,,,,0.33,,191.981531,9.7494181,8.07426,10.094
Gl 686 b,Gl 686,0.0917,,,0.43,0.43,264.4764878,18.5959509,8.15728,8.73899
61 Vir b,61 Vir,0.04956,,,1.03,0.91,199.596455,-18.3157745,8.50332,4.54052
61 Vir c,61 Vir,0.2175,,,0.96,0.94,199.596455,-18.3157745,8.50332,4.54052
61 Vir d,61 Vir,0.476,,,0.96,0.94,199.596455,-18.3157745,8.50332,4.54052
CD Cet b,CD Cet,0.0185,,,0.17,0.16,48.3530155,4.7751881,8.60715,12.1232
HD 192310 b,HD 192310,0.32,,,,0.8,303.8284712,-27.0337556,8.79687,5.47661
HD 192310 c,HD 192310,1.18,,,,0.8,303.8284712,-27.0337556,8.79687,5.47661
GJ 849 b,GJ 849,2.409,,,0.47,0.5,332.4229938,-4.6408317,8.80058,9.2245
GJ 849 c,GJ 849,4.974,,,0.47,0.5,332.4229938,-4.6408317,8.80058,9.2245
GJ 433 b,GJ 433,0.06,,,0.5,0.59,173.8619194,-32.5436302,9.06456,8.89138
GJ 433 c,GJ 433,3.6,,,,0.48,173.8619194,-32.5436302,9.06456,8.89138
GJ 433 d,GJ 433,0.178,,,,0.48,173.8619194,-32.5436302,9.06456,8.89138
HD 102365 b,HD 102365,0.46,,,,0.85,176.6208003,-40.4986211,9.2894,4.71107
GJ 367 b,GJ 367,0.0071,0.064,0.00172,0.46,0.45,146.121464,-45.7790165,9.41263,9.15159
GJ 357 b,GJ 357,0.035,0.109,0.00579,0.34,0.34,144.0074644,-21.6650634,9.44181,9.88036
GJ 357 c,GJ 357,0.061,,,0.34,0.34,144.0074644,-21.6650634,9.44181,9.88036
GJ 357 d,GJ 357,0.204,,,0.34,0.34,144.0074644,-21.6650634,9.44181,9.88036
HD 285968 b,HD 285968,0.066,,,0.49,0.48,70.7353853,18.953358,9.47045,8.99955
GJ 3512 b,GJ 3512,0.338,,,0.14,0.12,130.3316616,59.4918364,9.48637,13.1117
